epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,60.5343,0.45557,0.68487,0.45075,0.86749,0.99778,1,0.995,0.91903,0.99778,1,0.995,0.96146,0.40961,0.49726,0.28492,0.80796,0.00101,0.00101,0.00101
52,61.705,0.42601,0.48546,0.41236,0.84268,0.99766,1,0.995,0.96738,0.99766,1,0.995,0.94429,0.30067,0.52931,0.25846,0.77855,0.0009902,0.0009902,0.0009902
53,62.8775,0.38025,0.53278,0.40056,0.82902,0.99774,1,0.995,0.97551,0.99774,1,0.995,0.98283,0.29502,0.44666,0.27788,0.7846,0.0009704,0.0009704,0.0009704
54,64.0657,0.3851,0.51622,0.40029,0.85662,0.99772,1,0.995,0.96603,0.99772,1,0.995,0.99085,0.31455,0.48937,0.25272,0.78565,0.0009506,0.0009506,0.0009506
55,65.2364,0.39982,0.54244,0.39159,0.84047,0.99777,1,0.995,0.95748,0.99777,1,0.995,0.98004,0.30294,0.48855,0.2582,0.78218,0.0009308,0.0009308,0.0009308
56,66.4263,0.44365,0.59834,0.429,0.85549,0.99776,1,0.995,0.9084,0.99776,1,0.995,0.9051,0.42263,0.67597,0.30166,0.81981,0.000911,0.000911,0.000911
57,67.5963,0.43619,0.57167,0.41877,0.83628,0.99777,1,0.995,0.9543,0.99777,1,0.995,0.97936,0.3218,0.3867,0.2603,0.78047,0.0008912,0.0008912,0.0008912
58,68.773,0.42472,0.53207,0.43023,0.87037,0.9926,1,0.995,0.94691,0.9926,1,0.995,0.9195,0.31841,0.60883,0.27126,0.78742,0.0008714,0.0008714,0.0008714
59,69.9376,0.39284,0.5274,0.39228,0.8513,0.99698,1,0.995,0.93959,0.99698,1,0.995,0.92418,0.34358,0.61764,0.27371,0.7967,0.0008516,0.0008516,0.0008516
60,71.0961,0.36949,0.53592,0.40099,0.83621,0.99771,1,0.995,0.98545,0.99771,1,0.995,0.95673,0.32525,0.41562,0.25664,0.78969,0.0008318,0.0008318,0.0008318
61,72.2734,0.34677,0.47614,0.36125,0.84019,0.9977,1,0.995,0.96119,0.9977,1,0.995,0.9591,0.35445,0.46903,0.25564,0.81099,0.000812,0.000812,0.000812
62,73.444,0.34391,0.46588,0.35994,0.82885,0.99773,1,0.995,0.95219,0.99773,1,0.995,0.97013,0.31559,0.43,0.24076,0.78696,0.0007922,0.0007922,0.0007922
63,74.5961,0.35702,0.48185,0.37813,0.82308,0.9977,1,0.995,0.9562,0.9977,1,0.995,0.96373,0.3143,0.41133,0.23771,0.78108,0.0007724,0.0007724,0.0007724
64,75.7605,0.32915,0.45373,0.35463,0.82886,0.99771,1,0.995,0.95896,0.99771,1,0.995,0.96775,0.32335,0.44862,0.25303,0.78464,0.0007526,0.0007526,0.0007526
65,76.9303,0.33155,0.42449,0.34883,0.83368,0.99783,1,0.995,0.95864,0.99783,1,0.995,0.93913,0.33734,0.57232,0.26667,0.7929,0.0007328,0.0007328,0.0007328
66,78.0981,0.33201,0.47531,0.35703,0.84688,0.99772,1,0.995,0.97857,0.99772,1,0.995,0.98088,0.2964,0.43683,0.24228,0.77736,0.000713,0.000713,0.000713
67,79.2575,0.30936,0.43185,0.32264,0.83643,0.99767,1,0.995,0.98504,0.99767,1,0.995,0.97573,0.2775,0.44505,0.22098,0.77093,0.0006932,0.0006932,0.0006932
68,80.4249,0.33547,0.48884,0.35228,0.8282,0.99775,1,0.995,0.97563,0.99775,1,0.995,0.95411,0.2902,0.61372,0.21248,0.77903,0.0006734,0.0006734,0.0006734
69,81.5938,0.31718,0.4495,0.34169,0.8309,0.99778,1,0.995,0.97439,0.99778,1,0.995,0.96773,0.28854,0.56042,0.21657,0.78078,0.0006536,0.0006536,0.0006536
70,82.7516,0.33382,0.51417,0.35453,0.84547,0.99777,1,0.995,0.95641,0.99777,1,0.995,0.98188,0.28147,0.40325,0.22345,0.778,0.0006338,0.0006338,0.0006338
71,83.8921,0.3205,0.4118,0.3291,0.82829,0.99777,1,0.995,0.97397,0.99777,1,0.995,0.99064,0.29682,0.38232,0.20667,0.78206,0.000614,0.000614,0.000614
72,85.0723,0.33433,0.43727,0.34258,0.82305,0.99778,1,0.995,0.98056,0.99778,1,0.995,0.98933,0.27908,0.38884,0.21672,0.77858,0.0005942,0.0005942,0.0005942
73,86.2395,0.32516,0.43286,0.32927,0.82255,0.99777,1,0.995,0.96141,0.99777,1,0.995,0.97104,0.30205,0.43875,0.24169,0.78585,0.0005744,0.0005744,0.0005744
74,87.4161,0.29004,0.42878,0.31028,0.81859,0.99778,1,0.995,0.91835,0.99778,1,0.995,0.96735,0.37636,0.51564,0.24862,0.80988,0.0005546,0.0005546,0.0005546
75,88.5783,0.31303,0.44311,0.32067,0.8421,0.99777,1,0.995,0.92782,0.99777,1,0.995,0.97538,0.38943,0.52717,0.2481,0.82055,0.0005348,0.0005348,0.0005348
76,89.7619,0.34908,0.55318,0.36106,0.83906,0.99778,1,0.995,0.94657,0.99778,1,0.995,0.96541,0.32351,0.45667,0.22892,0.79039,0.000515,0.000515,0.000515
77,90.9201,0.31191,0.46038,0.31925,0.83076,0.99777,1,0.995,0.9666,0.99777,1,0.995,0.94954,0.29409,0.4087,0.18797,0.77735,0.0004952,0.0004952,0.0004952
78,92.0806,0.32776,0.43433,0.30698,0.84806,0.99779,1,0.995,0.97595,0.99779,1,0.995,0.98646,0.29154,0.36852,0.18808,0.77755,0.0004754,0.0004754,0.0004754
79,93.2228,0.33243,0.52581,0.34355,0.85611,0.99776,1,0.995,0.93863,0.99776,1,0.995,0.9826,0.32831,0.41177,0.20292,0.78824,0.0004556,0.0004556,0.0004556
80,94.3822,0.30553,0.42805,0.31755,0.84027,0.99776,1,0.995,0.97242,0.99776,1,0.995,0.98838,0.29833,0.41348,0.20902,0.781,0.0004358,0.0004358,0.0004358
81,95.5361,0.37494,0.47139,0.42176,0.85575,0.99777,1,0.995,0.97949,0.99777,1,0.995,0.98132,0.27312,0.35644,0.21081,0.77662,0.000416,0.000416,0.000416
82,96.7033,0.28539,0.39439,0.29503,0.83743,0.99775,1,0.995,0.99103,0.99775,1,0.995,0.98688,0.25363,0.41792,0.19355,0.76863,0.0003962,0.0003962,0.0003962
83,97.863,0.30069,0.41747,0.30743,0.83172,0.99776,1,0.995,0.97188,0.99776,1,0.995,0.97313,0.29956,0.48841,0.20417,0.77951,0.0003764,0.0003764,0.0003764
84,99.0217,0.32382,0.43033,0.31626,0.83941,0.9978,1,0.995,0.96181,0.9978,1,0.995,0.97797,0.30932,0.40656,0.20295,0.78176,0.0003566,0.0003566,0.0003566
85,100.177,0.28248,0.3934,0.29334,0.82219,0.99778,1,0.995,0.95546,0.99778,1,0.995,0.98308,0.32033,0.40844,0.2073,0.79261,0.0003368,0.0003368,0.0003368
86,101.333,0.3014,0.45812,0.3074,0.83797,0.99775,1,0.995,0.94014,0.99775,1,0.995,0.96279,0.34146,0.46485,0.2414,0.8027,0.000317,0.000317,0.000317
87,102.493,0.29636,0.46029,0.30374,0.83509,0.99777,1,0.995,0.94341,0.99777,1,0.995,0.97982,0.32085,0.43215,0.22875,0.79131,0.0002972,0.0002972,0.0002972
88,103.645,0.30778,0.41519,0.3008,0.8367,0.9978,1,0.995,0.94983,0.9978,1,0.995,0.9886,0.29376,0.42299,0.21287,0.77678,0.0002774,0.0002774,0.0002774
89,104.808,0.31767,0.51158,0.32624,0.83213,0.99779,1,0.995,0.974,0.99779,1,0.995,0.97881,0.27795,0.4313,0.21044,0.77259,0.0002576,0.0002576,0.0002576
90,105.975,0.28309,0.41456,0.29026,0.82787,0.99779,1,0.995,0.9616,0.99779,1,0.995,0.96684,0.30453,0.44809,0.20137,0.78195,0.0002378,0.0002378,0.0002378
91,107.384,0.23292,0.33381,0.27761,0.78485,0.99781,1,0.995,0.98351,0.99781,1,0.995,0.97224,0.28746,0.43419,0.19911,0.77758,0.000218,0.000218,0.000218
92,108.55,0.22319,0.31814,0.2789,0.77083,0.9978,1,0.995,0.98317,0.9978,1,0.995,0.97826,0.23515,0.409,0.19974,0.76351,0.0001982,0.0001982,0.0001982
93,109.71,0.23141,0.33044,0.26004,0.78922,0.99778,1,0.995,0.97943,0.99778,1,0.995,0.96788,0.26138,0.45648,0.20878,0.76714,0.0001784,0.0001784,0.0001784
94,110.863,0.21186,0.34058,0.26451,0.76939,0.99777,1,0.995,0.97429,0.99777,1,0.995,0.97347,0.26999,0.45007,0.21695,0.77268,0.0001586,0.0001586,0.0001586
95,112.007,0.19766,0.31666,0.25366,0.78812,0.99779,1,0.995,0.97402,0.99779,1,0.995,0.97453,0.2654,0.41621,0.21333,0.77319,0.0001388,0.0001388,0.0001388
96,113.173,0.21434,0.31045,0.25681,0.78583,0.99776,1,0.995,0.98642,0.99776,1,0.995,0.98623,0.24795,0.38449,0.19925,0.76785,0.000119,0.000119,0.000119
97,114.335,0.21126,0.31824,0.25853,0.76203,0.99778,1,0.995,0.98606,0.99778,1,0.995,0.98623,0.25652,0.41875,0.19475,0.76992,9.92e-05,9.92e-05,9.92e-05
98,115.512,0.20328,0.31445,0.2406,0.75331,0.99781,1,0.995,0.97887,0.99781,1,0.995,0.97918,0.26314,0.43867,0.19936,0.77027,7.94e-05,7.94e-05,7.94e-05
99,116.661,0.19783,0.32765,0.25712,0.7702,0.99779,1,0.995,0.9794,0.99779,1,0.995,0.97871,0.25818,0.43283,0.19584,0.76803,5.96e-05,5.96e-05,5.96e-05
100,117.839,0.19527,0.29995,0.23605,0.77435,0.99778,1,0.995,0.97915,0.99778,1,0.995,0.97885,0.25157,0.42038,0.19198,0.76584,3.98e-05,3.98e-05,3.98e-05
