epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,27.7332,0.55518,0.76216,0.78772,0.94954,0.99233,1,0.995,0.87386,0.99233,1,0.995,0.90945,0.52174,0.56726,0.66324,0.73678,0.0008318,0.0008318,0.0008318
61,28.1981,0.53609,0.66494,0.80122,0.95603,0.99235,1,0.995,0.88239,0.99235,1,0.995,0.93987,0.46161,0.59762,0.52068,0.72324,0.000812,0.000812,0.000812
62,28.6662,0.49075,0.57288,0.70252,0.86883,0.99235,1,0.995,0.88239,0.99235,1,0.995,0.93987,0.46161,0.59762,0.52068,0.72324,0.0007922,0.0007922,0.0007922
63,29.1219,0.60229,0.65212,0.7926,0.91837,0.9921,1,0.995,0.93987,0.9921,1,0.995,0.92854,0.38144,0.72138,0.49856,0.67725,0.0007724,0.0007724,0.0007724
64,29.5588,0.47192,0.65464,0.67995,0.87615,0.9921,1,0.995,0.93987,0.9921,1,0.995,0.92854,0.38144,0.72138,0.49856,0.67725,0.0007526,0.0007526,0.0007526
65,30.0316,0.453,0.69196,0.67458,0.8904,0.9919,1,0.995,0.97619,0.9919,1,0.995,0.97619,0.34055,0.52201,0.54461,0.63671,0.0007328,0.0007328,0.0007328
66,30.508,0.51139,0.63221,0.71097,0.9008,0.9919,1,0.995,0.97619,0.9919,1,0.995,0.97619,0.34055,0.52201,0.54461,0.63671,0.000713,0.000713,0.000713
67,30.9797,0.46915,0.59269,0.67274,0.89685,0.99221,1,0.995,0.93987,0.99221,1,0.995,0.97336,0.39981,0.51477,0.5315,0.65361,0.0006932,0.0006932,0.0006932
68,31.442,0.47747,0.61378,0.68612,0.84755,0.99221,1,0.995,0.93987,0.99221,1,0.995,0.97336,0.39981,0.51477,0.5315,0.65361,0.0006734,0.0006734,0.0006734
69,31.8938,0.55981,0.67169,0.70585,0.92463,0.99233,1,0.995,0.94874,0.99233,1,0.995,0.94874,0.37109,0.5251,0.46967,0.65192,0.0006536,0.0006536,0.0006536
70,32.3457,0.48287,0.66436,0.64618,0.86237,0.99233,1,0.995,0.94874,0.99233,1,0.995,0.94874,0.37109,0.5251,0.46967,0.65192,0.0006338,0.0006338,0.0006338
71,32.8241,0.50604,0.84641,0.70455,0.90557,0.99241,1,0.995,0.91229,0.99241,1,0.995,0.94874,0.38895,0.59035,0.43691,0.67543,0.000614,0.000614,0.000614
72,33.2729,0.49741,0.66091,0.68261,0.93236,0.99241,1,0.995,0.91229,0.99241,1,0.995,0.94874,0.38895,0.59035,0.43691,0.67543,0.0005942,0.0005942,0.0005942
73,33.7337,0.51566,0.58905,0.71551,0.92238,0.99243,1,0.995,0.96204,0.99243,1,0.995,0.92748,0.38125,0.62422,0.47089,0.67626,0.0005744,0.0005744,0.0005744
74,34.1848,0.47206,0.62655,0.61926,0.84656,0.99243,1,0.995,0.96204,0.99243,1,0.995,0.92748,0.38125,0.62422,0.47089,0.67626,0.0005546,0.0005546,0.0005546
75,34.6392,0.50721,0.72415,0.67503,0.87529,0.99248,1,0.995,0.96204,0.99248,1,0.995,0.944,0.33801,0.55992,0.47034,0.65236,0.0005348,0.0005348,0.0005348
76,35.1078,0.44612,0.62782,0.63399,0.84514,0.99248,1,0.995,0.96204,0.99248,1,0.995,0.944,0.33801,0.55992,0.47034,0.65236,0.000515,0.000515,0.000515
77,35.5865,0.47584,0.61235,0.65535,0.88468,0.99253,1,0.995,0.96204,0.99253,1,0.995,0.96511,0.30795,0.51289,0.46456,0.64652,0.0004952,0.0004952,0.0004952
78,36.0301,0.42618,0.56584,0.60163,0.87071,0.99253,1,0.995,0.96204,0.99253,1,0.995,0.96511,0.30795,0.51289,0.46456,0.64652,0.0004754,0.0004754,0.0004754
79,36.4857,0.43113,0.62623,0.66826,0.89581,0.99253,1,0.995,0.96204,0.99253,1,0.995,0.96786,0.30677,0.52857,0.4432,0.64807,0.0004556,0.0004556,0.0004556
80,36.9497,0.44202,0.62808,0.63235,0.88968,0.99253,1,0.995,0.96204,0.99253,1,0.995,0.96786,0.30677,0.52857,0.4432,0.64807,0.0004358,0.0004358,0.0004358
81,37.4316,0.46689,0.62855,0.64779,0.86984,0.99241,1,0.995,0.96204,0.99241,1,0.995,0.94537,0.29524,0.57975,0.43458,0.63532,0.000416,0.000416,0.000416
82,37.8877,0.42477,0.60139,0.62929,0.8608,0.99241,1,0.995,0.96204,0.99241,1,0.995,0.94537,0.29524,0.57975,0.43458,0.63532,0.0003962,0.0003962,0.0003962
83,38.3548,0.41229,0.58389,0.59011,0.86608,0.99234,1,0.995,0.97619,0.99234,1,0.995,0.94537,0.30348,0.56844,0.44651,0.62611,0.0003764,0.0003764,0.0003764
84,38.7952,0.48748,0.64082,0.61377,0.87075,0.99234,1,0.995,0.97619,0.99234,1,0.995,0.94537,0.30348,0.56844,0.44651,0.62611,0.0003566,0.0003566,0.0003566
