epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,22.5673,0.46692,0.71252,0.84718,0.98715,1,0.995,0.86174,0.71647,0.82718,0.90717,0.0008516,0.0008516,0.0008516
60,22.936,0.52496,0.82202,0.89582,0.98747,1,0.995,0.82053,0.69213,0.84709,0.9028,0.0008318,0.0008318,0.0008318
61,23.2965,0.40345,0.71748,0.83775,0.98747,1,0.995,0.82053,0.69213,0.84709,0.9028,0.000812,0.000812,0.000812
62,23.669,0.38682,0.66242,0.8081,0.98792,1,0.995,0.83307,0.67178,0.79329,0.89399,0.0007922,0.0007922,0.0007922
63,24.0433,0.44759,0.65259,0.80606,0.98831,1,0.995,0.85757,0.69543,0.71856,0.89895,0.0007724,0.0007724,0.0007724
64,24.4162,0.36142,0.6813,0.8412,0.98763,1,0.995,0.84506,0.6896,0.73046,0.90581,0.0007526,0.0007526,0.0007526
65,24.7733,0.38831,0.63722,0.83277,0.98763,1,0.995,0.84506,0.6896,0.73046,0.90581,0.0007328,0.0007328,0.0007328
66,25.1433,0.40427,0.63974,0.82985,0.98711,1,0.995,0.83677,0.68229,0.73453,0.9111,0.000713,0.000713,0.000713
67,25.511,0.45889,0.64938,0.84039,0.98667,1,0.995,0.81636,0.67825,0.70865,0.90751,0.0006932,0.0006932,0.0006932
68,25.8811,0.36204,0.65806,0.80732,0.98608,1,0.995,0.81227,0.68046,0.71292,0.90334,0.0006734,0.0006734,0.0006734
69,26.2385,0.34952,0.64239,0.82097,0.98608,1,0.995,0.81227,0.68046,0.71292,0.90334,0.0006536,0.0006536,0.0006536
70,26.6084,0.39674,0.63952,0.8176,0.98621,1,0.995,0.80798,0.66833,0.66401,0.89153,0.0006338,0.0006338,0.0006338
71,26.9866,0.33438,0.63949,0.78227,0.98712,1,0.995,0.78957,0.70437,0.621,0.89439,0.000614,0.000614,0.000614
72,27.3574,0.40276,0.57674,0.84381,0.98787,1,0.995,0.83307,0.72289,0.58231,0.89739,0.0005942,0.0005942,0.0005942
73,27.7373,0.3664,0.59722,0.79514,0.98787,1,0.995,0.83307,0.72289,0.58231,0.89739,0.0005744,0.0005744,0.0005744
74,28.1179,0.44748,0.6553,0.80053,0.98796,1,0.995,0.84132,0.72334,0.5284,0.89842,0.0005546,0.0005546,0.0005546
75,28.4866,0.38837,0.623,0.85234,0.98824,1,0.995,0.84132,0.69668,0.49995,0.90122,0.0005348,0.0005348,0.0005348
76,28.8558,0.35213,0.65347,0.80589,0.98797,1,0.995,0.84132,0.67954,0.49074,0.9059,0.000515,0.000515,0.000515
77,29.2168,0.42312,0.70018,0.78469,0.98797,1,0.995,0.84132,0.67954,0.49074,0.9059,0.0004952,0.0004952,0.0004952
78,29.5882,0.33456,0.92615,0.78206,0.98797,1,0.995,0.86174,0.67334,0.48966,0.90315,0.0004754,0.0004754,0.0004754
