epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,14.8228,0.82866,1.00318,1.24693,0.8235,0.48154,0.51548,0.269,1.7567,2.19668,1.44566,2.17805e-05,2.17805e-05,2.17805e-05
79,15.0024,0.68404,0.89173,1.12991,0.8235,0.48154,0.51548,0.269,1.7567,2.19668,1.44566,2.11444e-05,2.11444e-05,2.11444e-05
80,15.1772,0.65722,0.62938,1.02864,0.8235,0.48154,0.51548,0.269,1.7567,2.19668,1.44566,2.04848e-05,2.04848e-05,2.04848e-05
81,15.3606,0.81574,0.89657,1.27437,0.82314,0.48333,0.51372,0.27299,1.73888,2.15219,1.42696,1.98016e-05,1.98016e-05,1.98016e-05
82,15.5333,0.6871,0.66466,1.22472,0.82314,0.48333,0.51372,0.27299,1.73888,2.15219,1.42696,1.90949e-05,1.90949e-05,1.90949e-05
83,15.7046,0.80235,0.72876,1.33826,0.82314,0.48333,0.51372,0.27299,1.73888,2.15219,1.42696,1.83646e-05,1.83646e-05,1.83646e-05
84,15.8866,0.72513,0.78118,1.10563,0.82235,0.47837,0.51566,0.25695,1.72755,2.17927,1.42684,1.76107e-05,1.76107e-05,1.76107e-05
85,16.0565,0.75006,0.90202,1.15753,0.82235,0.47837,0.51566,0.25695,1.72755,2.17927,1.42684,1.68333e-05,1.68333e-05,1.68333e-05
86,16.2319,0.65281,1.03521,1.08833,0.82235,0.47837,0.51566,0.25695,1.72755,2.17927,1.42684,1.60323e-05,1.60323e-05,1.60323e-05
87,16.4036,1.16044,1.67946,1.62757,0.82235,0.47837,0.51566,0.25695,1.72755,2.17927,1.42684,1.52077e-05,1.52077e-05,1.52077e-05
88,16.5891,0.63202,0.85743,1.07849,0.83212,0.47093,0.51228,0.25591,1.75137,2.26288,1.45928,1.43596e-05,1.43596e-05,1.43596e-05
89,16.76,0.7225,0.7721,1.34097,0.83212,0.47093,0.51228,0.25591,1.75137,2.26288,1.45928,1.34879e-05,1.34879e-05,1.34879e-05
90,16.9329,0.85557,0.83983,1.27747,0.83212,0.47093,0.51228,0.25591,1.75137,2.26288,1.45928,1.25927e-05,1.25927e-05,1.25927e-05
91,17.371,0.6775,0.59185,1.11406,0.83212,0.47093,0.51228,0.25591,1.75137,2.26288,1.45928,1.16739e-05,1.16739e-05,1.16739e-05
92,17.5801,0.7069,0.59973,1.23362,0.84358,0.46497,0.51043,0.25421,1.74373,2.17084,1.4272,1.07315e-05,1.07315e-05,1.07315e-05
93,17.7639,0.58518,0.61792,1.0467,0.84358,0.46497,0.51043,0.25421,1.74373,2.17084,1.4272,9.76562e-06,9.76562e-06,9.76562e-06
94,17.9362,0.68637,0.62039,1.03509,0.84358,0.46497,0.51043,0.25421,1.74373,2.17084,1.4272,8.77613e-06,8.77613e-06,8.77613e-06
95,18.1073,0.57099,0.51611,0.97847,0.84358,0.46497,0.51043,0.25421,1.74373,2.17084,1.4272,7.76308e-06,7.76308e-06,7.76308e-06
96,18.3002,0.54013,0.55735,1.00163,0.8473,0.45407,0.51863,0.26159,1.82706,2.1066,1.45361,6.72648e-06,6.72648e-06,6.72648e-06
97,18.4746,0.55366,0.53918,1.06189,0.8473,0.45407,0.51863,0.26159,1.82706,2.1066,1.45361,5.6663e-06,5.6663e-06,5.6663e-06
98,18.6479,0.54771,0.49498,0.95836,0.8473,0.45407,0.51863,0.26159,1.82706,2.1066,1.45361,4.58257e-06,4.58257e-06,4.58257e-06
99,18.8318,0.59875,0.56525,1.12879,0.8473,0.45407,0.51863,0.26159,1.82706,2.1066,1.45361,3.47528e-06,3.47528e-06,3.47528e-06
100,19.019,0.47236,0.45461,0.93796,0.58404,0.48333,0.54275,0.30519,1.85434,2.15422,1.52024,2.34442e-06,2.34442e-06,2.34442e-06
